,index,Unnamed: 0,name,nameLabel,education,educationLabel,countryLabel,isTrue,Questions,Statements,Group
0,3,3,Q76,Barack Obama,Q5130976,Cleary University,United States of America,0,Did Barack Obama attend Cleary University?,Barack Obama attended Cleary University.,0
1,4,4,Q76,Barack Obama,Q2001088,Northern State University,United States of America,0,Did Barack Obama attend Northern State University?,Barack Obama attended Northern State University.,0
2,5,5,Q76,Barack Obama,Q7895394,University of Florida Athletic Association,United States of America,0,Did Barack Obama attend University of Florida Athletic Association?,Barack Obama attended University of Florida Athletic Association.,0
3,0,0,Q76,Barack Obama,Q13371,Harvard University,United States of America,1,Did Barack Obama attend Harvard University?,Barack Obama attended Harvard University.,0
4,1,1,Q76,Barack Obama,Q1346110,Occidental College,United States of America,1,Did Barack Obama attend Occidental College?,Barack Obama attended Occidental College.,0
5,2,2,Q76,Barack Obama,Q49088,Columbia University,United States of America,1,Did Barack Obama attend Columbia University?,Barack Obama attended Columbia University.,0
6,9,9,Q206,Stephen Harper,Q4957110,Brandon University,Canada,0,Did Stephen Harper attend Brandon University?,Stephen Harper attended Brandon University.,1
7,8,8,Q206,Stephen Harper,Q1067471,University of Calgary,Canada,1,Did Stephen Harper attend University of Calgary?,Stephen Harper attended University of Calgary.,1
8,16,16,Q320,Michelle Bachelet,Q1736344,Katholische Hochschule Nordrhein-Westfalen,Germany,0,Did Michelle Bachelet attend Katholische Hochschule Nordrhein-Westfalen?,Michelle Bachelet attended Katholische Hochschule Nordrhein-Westfalen.,2
9,17,17,Q320,Michelle Bachelet,Q1622151,Hochschule der Deutschen Bundesbank,Germany,0,Did Michelle Bachelet attend Hochschule der Deutschen Bundesbank?,Michelle Bachelet attended Hochschule der Deutschen Bundesbank.,2
10,14,14,Q320,Michelle Bachelet,Q154804,Leipzig University,Germany,1,Did Michelle Bachelet attend Leipzig University?,Michelle Bachelet attended Leipzig University.,2
