,index,Unnamed: 0,name,nameLabel,education,educationLabel,countryLabel,isTrue,Questions,Statements,Group
0,27754,28361,Q1000053,Vasily Nebenzya,Q4398071,Moscow State Aviation Technological University,Soviet Union,0,Did Vasily Nebenzya attend Moscow State Aviation Technological University?,Vasily Nebenzya attended Moscow State Aviation Technological University.,0
1,27750,28357,Q1000053,Vasily Nebenzya,Q322964,Moscow State Institute of International Relations,Russia,1,Did Vasily Nebenzya attend Moscow State Institute of International Relations?,Vasily Nebenzya attended Moscow State Institute of International Relations.,0
2,4484,4636,Q100218,Martina Bunge,Q530991,Helmut Schmidt University,Germany,0,Did Martina Bunge attend Helmut Schmidt University?,Martina Bunge attended Helmut Schmidt University.,1
3,4482,4634,Q100218,Martina Bunge,Q159895,University of Rostock,Germany,1,Did Martina Bunge attend University of Rostock?,Martina Bunge attended University of Rostock.,1
4,4490,4643,Q100234,Marion Schick,Q650345,Hochschule für Musik Freiburg,Germany,0,Did Marion Schick attend Hochschule für Musik Freiburg?,Marion Schick attended Hochschule für Musik Freiburg.,2
5,4491,4644,Q100234,Marion Schick,Q530991,Helmut Schmidt University,Germany,0,Did Marion Schick attend Helmut Schmidt University?,Marion Schick attended Helmut Schmidt University.,2
6,4488,4640,Q100234,Marion Schick,Q55044,Ludwig Maximilian University of Munich,Germany,1,Did Marion Schick attend Ludwig Maximilian University of Munich?,Marion Schick attended Ludwig Maximilian University of Munich.,2
7,4489,4641,Q100234,Marion Schick,Q283099,Bundeswehr University Munich,Germany,1,Did Marion Schick attend Bundeswehr University Munich?,Marion Schick attended Bundeswehr University Munich.,2
8,4495,4648,Q100521,Wolfgang Jörg,Q41313704,Universität,Germany,0,Did Wolfgang Jörg attend Universität?,Wolfgang Jörg attended Universität.,3
9,4494,4647,Q100521,Wolfgang Jörg,Q1324675,Dortmund University of Applied Sciences and Arts,Germany,1,Did Wolfgang Jörg attend Dortmund University of Applied Sciences and Arts?,Wolfgang Jörg attended Dortmund University of Applied Sciences and Arts.,3
10,4503,4656,Q100615,Yvonne Ploetz,Q1391282,Fachhochschule für die Wirtschaft,Germany,0,Did Yvonne Ploetz attend Fachhochschule für die Wirtschaft?,Yvonne Ploetz attended Fachhochschule für die Wirtschaft.,4
11,4500,4653,Q100615,Yvonne Ploetz,Q702486,Trier University,Germany,1,Did Yvonne Ploetz attend Trier University?,Yvonne Ploetz attended Trier University.,4
